name,pos_count_all,pos_percent_all
AF,5230,0.0607934533703751
AFL,8271,0.0961419986283695
BBB,490,0.0056957537574538
Brady,283,0.0032895883946111
CLBBB|LBBB,1487,0.0172848690557835
CRBBB|RBBB,4794,0.0557253949249671
IAVB,3516,0.0408699392065466
IRBBB,1854,0.0215508723802438
LAD,7614,0.0885050389984772
LAnFB,2179,0.0253286682397796
LPR,391,0.0045449790187029
LQRSV,1587,0.0184472677817945
LQT,1899,0.0220739518069488
NSIVCB,1753,0.0203768496669727
NSR,28664,0.333189970823792
PAC|SVPB,3233,0.0375803508119355
PR,1470,0.0170872612723616
PRWP,628,0.007299863999349
PVC|VPB,1901,0.022097199781469
QAb,2072,0.0240849016029478
RAD,1252,0.0145532320496576
SA,3447,0.040067884085599
SB,18827,0.2188448081460902
STach,8933,0.1038370781945623
TAb,11626,0.1351404758860384
TInv,3944,0.0458450057538736
